split,model,acc_mean,acc_std
target_group_nh,BERT,0.7935483870967742,0.03870967741935484
profanity_nh,BERT,0.9960000000000001,0.006633249580710806
ref_subs_sent_h,BERT,0.8112781954887218,0.078530946149152
ref_subs_clause_h,BERT,0.7757142857142857,0.06398341621873911
negate_neg_nh,BERT,0.2218045112781955,0.04148986364307186
phrase_question_h,BERT,0.7571428571428571,0.05383269623261936
spell_space_del_h,BERT,0.6035460992907802,0.03864434815836959
slur_h,BERT,0.5361111111111112,0.060762896817298226
target_obj_nh,BERT,0.9953846153846154,0.009850960365281299
spell_char_swap_h,BERT,0.6639097744360902,0.06406879817375244
profanity_h,BERT,0.8528571428571429,0.05356666645500765
target_indiv_nh,BERT,0.8707692307692309,0.025926614686696495
counter_quote_nh,BERT,0.3271676300578034,0.056173551968815454
slur_homonym_nh,BERT,0.6900000000000001,0.029999999999999992
spell_leet_h,BERT,0.31907514450867047,0.04300826644563764
threat_dir_h,BERT,0.6451127819548872,0.04087902923028027
phrase_opinion_h,BERT,0.8458646616541353,0.054348993589477285
spell_space_add_h,BERT,0.1578034682080925,0.036745005954480506
slur_reclaimed_nh,BERT,0.31728395061728387,0.09515787986441054
negate_pos_h,BERT,0.77,0.05694608979427071
spell_char_del_h,BERT,0.44785714285714284,0.04357142857142858
derog_dehum_h,BERT,0.9078571428571427,0.04753623751992812
derog_neg_attrib_h,BERT,0.8628571428571428,0.06886840453253686
ident_neutral_nh,BERT,0.6992063492063492,0.08042545597168826
derog_neg_emote_h,BERT,0.7614285714285713,0.09002267288107514
derog_impl_h,BERT,0.61,0.06414269805898183
ident_pos_nh,BERT,0.5306878306878307,0.058203463153775115
threat_norm_h,BERT,0.7442857142857142,0.07907630001770313
counter_ref_nh,BERT,0.31489361702127655,0.0524247336526988
target_group_nh,SOC,0.6870967741935484,0.06926100178575449
profanity_nh,SOC,0.9960000000000001,0.006633249580710806
ref_subs_sent_h,SOC,0.7984962406015038,0.07380686431162724
ref_subs_clause_h,SOC,0.7314285714285714,0.07137140569598169
negate_neg_nh,SOC,0.24661654135338346,0.0670649717924143
phrase_question_h,SOC,0.735,0.06022491856637525
spell_space_del_h,SOC,0.49361702127659585,0.08025160374363481
slur_h,SOC,0.5951388888888889,0.08009025098268287
target_obj_nh,SOC,0.9938461538461538,0.012307692307692308
spell_char_swap_h,SOC,0.47518796992481205,0.06781938215807329
profanity_h,SOC,0.8099999999999999,0.07641188068752192
target_indiv_nh,SOC,0.826153846153846,0.05242069242277176
counter_quote_nh,SOC,0.32947976878612717,0.06984419637915938
slur_homonym_nh,SOC,0.67,0.03785938897200181
spell_leet_h,SOC,0.23641618497109826,0.053445550581335544
threat_dir_h,SOC,0.5736842105263158,0.06503216110125927
phrase_opinion_h,SOC,0.8090225563909774,0.07205502887645676
spell_space_add_h,SOC,0.07398843930635837,0.026082113694054283
slur_reclaimed_nh,SOC,0.337037037037037,0.06024134764817705
negate_pos_h,SOC,0.7607142857142858,0.098522244458098
spell_char_del_h,SOC,0.44571428571428573,0.0776044391745204
derog_dehum_h,SOC,0.9064285714285714,0.054158685963621056
derog_neg_attrib_h,SOC,0.8385714285714284,0.07278708115918282
ident_neutral_nh,SOC,0.9071428571428573,0.07604566264260132
derog_neg_emote_h,SOC,0.7057142857142857,0.07026190072775966
derog_impl_h,SOC,0.5157142857142858,0.10948860717919841
ident_pos_nh,SOC,0.9063492063492063,0.053229196224457764
threat_norm_h,SOC,0.7250000000000001,0.04587583063808974
counter_ref_nh,SOC,0.3226950354609929,0.08423012255479805
target_group_nh,EAR,0.814516129032258,0.07435116497816843
profanity_nh,EAR,0.9870000000000001,0.020999999999999987
ref_subs_sent_h,EAR,0.8639097744360903,0.05818693959081459
ref_subs_clause_h,EAR,0.8492857142857144,0.06972614067821015
negate_neg_nh,EAR,0.20902255639097742,0.07257099856850317
phrase_question_h,EAR,0.8021428571428573,0.08100453502043915
spell_space_del_h,EAR,0.5822695035460994,0.072496702286812
slur_h,EAR,0.5256944444444445,0.057689067849833686
target_obj_nh,EAR,0.9984615384615385,0.004615384615384599
spell_char_swap_h,EAR,0.6526315789473683,0.11115620218091025
profanity_h,EAR,0.8957142857142857,0.05385164807134505
target_indiv_nh,EAR,0.936923076923077,0.057337369703336076
counter_quote_nh,EAR,0.34508670520231216,0.06893169616615187
slur_homonym_nh,EAR,0.7066666666666667,0.035901098714230056
spell_leet_h,EAR,0.25722543352601157,0.055397922348477256
threat_dir_h,EAR,0.6669172932330827,0.0901660204526966
phrase_opinion_h,EAR,0.8984962406015038,0.05748315766480423
spell_space_add_h,EAR,0.1635838150289017,0.05751662934846589
slur_reclaimed_nh,EAR,0.3098765432098765,0.06635730691544042
negate_pos_h,EAR,0.7992857142857143,0.09020667878798765
spell_char_del_h,EAR,0.42928571428571427,0.06255201916837551
derog_dehum_h,EAR,0.9292857142857143,0.036344440666310145
derog_neg_attrib_h,EAR,0.9257142857142856,0.04587026959429236
ident_neutral_nh,EAR,0.7214285714285713,0.13903393786430318
derog_neg_emote_h,EAR,0.8042857142857143,0.08446711713768278
derog_impl_h,EAR,0.6514285714285715,0.08186599303939658
ident_pos_nh,EAR,0.5126984126984128,0.12337122255125742
threat_norm_h,EAR,0.7942857142857143,0.08048323440573298
counter_ref_nh,EAR,0.275177304964539,0.06704284991827787
